order_date,customer_name,product_name,quantity,unit_price,total_amount,region
2024-04-12,EY,CRM Software,8,4272,34176,Edinburgh
2025-09-06,Accenture,Analytics Dashboard,7,4926,34482,Birmingham
2024-03-28,HSBC,Data Warehouse,8,630,5040,Edinburgh
2024-12-09,TCS,Cloud Suite,5,1684,8420,Leeds
2024-11-09,Barclays,CRM Software,9,974,8766,Birmingham
2025-05-25,Accenture,Data Warehouse,3,2399,7197,Leeds
2025-05-19,PwC,CRM Software,3,1146,3438,Edinburgh
2024-06-15,KPMG,Data Warehouse,9,2863,25767,Manchester
2024-12-11,HSBC,Cloud Suite,4,1978,7912,Leeds
2025-05-23,Microsoft,Analytics Dashboard,1,2455,2455,Manchester
2025-01-22,KPMG,Cloud Suite,4,2000,8000,Manchester
2025-12-30,TCS,Cloud Suite,4,3842,15368,Leeds
2025-12-02,Microsoft,CRM Software,2,1378,2756,Edinburgh
2024-08-04,TCS,Data Warehouse,9,2562,23058,Edinburgh
2024-03-05,Amazon,AI Platform,8,2527,20216,Birmingham
2025-05-13,Deloitte,Analytics Dashboard,3,4974,14922,Edinburgh
2025-05-04,Google,Cloud Suite,9,3599,32391,London
2024-02-02,Google,CRM Software,3,3231,9693,Birmingham
2025-06-30,Deloitte,Analytics Dashboard,5,3190,15950,London
2024-01-05,Accenture,Analytics Dashboard,9,706,6354,Manchester
2025-07-07,TCS,CRM Software,3,1363,4089,London
2025-07-17,EY,CRM Software,7,2178,15246,Birmingham
2025-06-24,EY,CRM Software,7,2222,15554,Birmingham
2024-03-26,TCS,Cloud Suite,9,3560,32040,Leeds
2024-01-28,TCS,Data Warehouse,4,2481,9924,Birmingham
2025-10-01,Accenture,Data Warehouse,9,3802,34218,London
2025-01-19,Amazon,Analytics Dashboard,9,3175,28575,Edinburgh
2024-09-15,Google,Analytics Dashboard,9,4913,44217,Edinburgh
2024-08-12,PwC,Cloud Suite,8,2498,19984,Birmingham
2025-01-08,Microsoft,AI Platform,4,2353,9412,London
2025-03-17,EY,Data Warehouse,7,3957,27699,Birmingham
2024-04-22,HSBC,AI Platform,8,3652,29216,Birmingham
2024-04-22,KPMG,Cloud Suite,6,1354,8124,Edinburgh
2024-08-12,Deloitte,Analytics Dashboard,2,2207,4414,Manchester
2025-11-02,Barclays,Data Warehouse,7,702,4914,Birmingham
2025-02-04,Barclays,CRM Software,4,697,2788,Birmingham
2025-05-25,Deloitte,AI Platform,6,3011,18066,Edinburgh
2025-10-21,TCS,Analytics Dashboard,4,1869,7476,Birmingham
2025-05-25,PwC,Data Warehouse,7,2343,16401,London
2025-10-01,Google,Cloud Suite,8,2302,18416,Leeds
2025-04-17,KPMG,Cloud Suite,3,762,2286,Leeds
2024-05-23,Accenture,AI Platform,4,4143,16572,London
2024-01-02,Deloitte,Data Warehouse,5,3608,18040,Birmingham
2024-01-09,Amazon,Analytics Dashboard,3,2755,8265,Birmingham
2025-02-07,Microsoft,AI Platform,8,2148,17184,Leeds
2025-02-25,Microsoft,Data Warehouse,3,3683,11049,London
2024-04-08,Amazon,CRM Software,2,4933,9866,Manchester
